LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-96.2703234,30.0823002,0,Jones Wilke Road (Off Of),,,,,,,b3c156742327419c
-96.3407147,30.0864673,2651,Phillipsburg Church Road,,CHAPPELL HILL,,,,,7f3e5b3086ad451c
-96.3383352,30.0877808,2739,Phillipsburg Church Road,,CHAPPELL HILL,,,,,0e4ffb2a87fee7bf
-96.318219,30.0847869,0,Sempronius Road,,,,,,,8c3790d5914e0318
-96.3465793,30.0867954,650,Church Road,,BRENHAM,,,,,0f5b1692e331a668
-96.2836883,30.0791635,0,Neumann Road,,,,,,,f76057b20011e28e
-96.2776524,30.0772785,0,Jones Wilke Road,,CHAPPELL HILL,,,,,bfe2fd1baf3fcacb
-96.3612226,30.0849734,11244,North Loop Road,,BRENHAM,,,,,f3d870ba892c9676
-96.2917141,30.0814941,3873,Sempronius Road,,CHAPPELL HILL,,,,,1507169544646477
-96.2983981,30.0790308,0,Sempronius Road,,CHAPPELL HILL,,,,,1d3fee637cfd067c
-96.3487266,30.0820638,0,Highway 36 N(Kenney Hwy),,BRENHAM,,,,,de57867ac2580ae4
-96.3642414,30.0844723,12768,New Wehdem Road,,BRENHAM,,,,,43f2b87b7e2bd633
-96.3574427,30.0821194,11070,North Loop Road,, ,,,,,5c4e066237af35be
-96.3741293,30.084213,7138,Sander Road,,BRENHAM,,,,,d16c043abf1a9389
-96.3396644,30.0813716,700,Sempronius Road,, ,,,,,ddfe06cf4938aba4
-96.3007554,30.0818632,3272,Sempronius Road,, ,,,,,190ea56bc0823a94
-96.3736804,30.0837855,7174,Sander Road,,BRENHAM,,,,,190168316db76057
-96.37456,30.0830663,7214,Sander Road,,BRENHAM,,,,,b7355906c167f956
-96.3314742,30.0813982,0,Sempronius Road,,CHAPPELL HILL,,,,,75dd6b730c677300
-96.3742743,30.0833719,0,Sander Road,,BRENHAM,,,,,59ce86c102d535de
-96.3187054,30.0796871,0,Sempronius Road,,CHAPPELL HILL,,,,,a3e78cdcd0788785
-96.3727554,30.0824202,12137,New Wehdem Road,,BRENHAM,,,,,2b01df9cc6d032b2
-96.3714466,30.0824753,0,New Wehdem Road,,,,,,,82c27ebc0c4a147f
-96.3241854,30.0798312,1711,Sempronius Road,,CHAPPELL HILL,,,,,e32a07482251eede
-96.3737247,30.0819191,0,New Wehdem Road,,,,,,,143c3e1991523874
-96.3744229,30.0812184,0,New Wehdem Road,,,,,,,addf25cb2ddb8c8b
-96.2897253,30.0804431,5333,Neumann Road,,CHAPPELL HILL,,,,,00573602ce0e268c
-96.371582,30.0817604,11855,New Wehdem Road,,,,,,,e345e697006326b8
-96.3926817,30.0816749,11404,Dierking Road,,BRENHAM,,,,,90b077f3d5c7a499
-96.3859399,30.0787458,10716,Dierking Road,,BRENHAM,,,,,715e7c783dd9c53c
-96.2896165,30.0798481,0,Neumann Road,,CHAPPELL HILL,,,,,2b3328fd01c60b2e
-96.37026,30.0808322,11101,Tegeler Road,,BRENHAM,,,,,48ca1e7d0b33a751
-96.351868,30.0797045,142,Dabney Road,,BRENHAM,,,,,2d6ae66a33fc15b2
-96.3726386,30.0808146,11815,New Wehdem Road,,,,,,,81ae3c784be7abc1
-96.3278632,30.0795777,1447,Sempronius Road,,CHAPPELL HILL,,,,,ee145ba580bede34
-96.3700032,30.0811085,11083,Tegeler Road,,BRENHAM,,,,,2863f24aaacae546
